genename,log2FoldChange,adjusted_pvalue
TUBB3,1.236559911,8.92847E-10
DCPS,1.236790458,0.000128536
BST2,1.237727235,0.004044023
DHTKD1,1.239477269,1.15199E-09
ARSB,1.2408269,0.000143047
RNASEH2A,1.242780641,2.16383E-11
MCM7,1.243602059,3.42159E-12
POLQ,1.245449199,5.52799E-09
IGFBPL1,1.249379224,0.00414423
BNIP3,1.252305068,1.30018E-12
PCLO,1.252491296,2.53373E-09
ACBD7,1.253163616,4.95839E-07
PRIM2,1.254562866,9.60077E-07
CCNE2,1.255643561,2.72441E-06
NFIC,1.255908082,0.0001164
MTHFD2,1.25649767,4.95855E-18
EPB41L1,1.259477808,1.64618E-07
HPRT1,1.264129108,8.36046E-14
DTYMK,1.266721108,0.000000011
TP73,1.266848474,8.29347E-06
SLC43A1,1.269018505,0.001934346
CENPK,1.269351607,1.61211E-05
CUL7,1.270233168,9.56011E-09
CHAF1A,1.272096243,1.5906E-08
MTHFD1,1.272485792,7.61569E-12
HDHD1,1.273600792,9.65302E-08
HIST1H2BD,1.275140028,2.62441E-19
SMTN,1.277655049,1.57644E-06
FUT4,1.278255894,5.78235E-05
ATF5,1.278779461,7.24809E-09
ZNF85,1.280820982,6.36364E-08
E2F7,1.280932695,9.66903E-08
RFC2,1.283801966,3.72979E-12
CHAC1,1.284386661,0.001135375
CHD5,1.286408482,0.001669908
MKX,1.286832912,0.002536813
FAM225A,1.28697827,4.02463E-06
POLD2,1.287536633,3.53274E-09
FAM114A1,1.288110428,2.03177E-06
ARID1A,1.288119366,4.65162E-09
GSTZ1,1.288639497,6.21648E-14
ZDHHC2,1.291424845,0.000668238
VWDE,1.291573712,0.000209526
MLKL,1.291788576,0.00099172
TBL1X,1.292392285,8.98377E-08
MVD,1.29500922,1.30007E-17
CAMK2D,1.295949208,2.01663E-12
DSCC1,1.296098132,6.71874E-09
ARMCX4,1.29668349,0.006313709
HAUS4,1.303208143,9.90046E-20
ORC6,1.305286147,9.72132E-07
MORC4,1.306408521,6.70417E-10
ZNF695,1.307237275,0.000210323
CDK1,1.307561643,4.68312E-17
BRCA2,1.308439629,6.85275E-16
CBS,1.31020618,6.85705E-09
ATIC,1.310384388,3.08613E-16
COL9A2,1.314629732,0.000381173
ZNF615,1.315028043,0.001914552
CMIP,1.31601837,1.40134E-07
RMI2,1.31639749,9.94477E-11
GINS2,1.317867248,2.40926E-12
MAGED1,1.319720931,1.09511E-21
MCM6,1.319857686,3.10292E-19
EMC3-AS1,1.321305323,2.60696E-05
KRT6A,1.322079466,0.004375721
FAM83F,1.322849941,0.00348398
ZNF813,1.323229508,0.000120741
POLD1,1.32432652,4.87212E-09
NEURL1B,1.32717825,7.26048E-13
GYG2,1.327606144,0.000476375
CHEK1,1.330619437,3.83751E-11
POLR2A,1.331327921,0.00082017
GALNT12,1.331922888,0.00014163
SMAD9,1.333193911,0.00827711
TIMELESS,1.333541545,1.43193E-11
LOC101927934,1.33766554,0.001059293
ZNF852,1.342707839,0.001758941
BRCA1,1.34311141,6.01036E-13
CKS1B,1.345400062,4.38755E-12
SH3RF2,1.34613267,0.004082794
KRT23,1.346169259,1.54306E-06
SEPT3,1.346214026,0.005462827
PKN3,1.347452603,0.002779668
NEK2,1.34970037,1.89869E-05
SNTB1,1.350208524,0.002689079
ANKRD1,1.350787413,0.002201009
LOC642423,1.351171699,0.009079663
ISG20,1.354001133,1.1146E-06
WDR76,1.354063497,1.09116E-09
FN1,1.354616814,1.74447E-11
MCM5,1.35726295,3.34916E-12
CASP2,1.359422585,4.24863E-10
C9orf40,1.36005742,6.42345E-05
E2F1,1.367352437,6.54898E-11
PLCH1,1.367395801,0.001270905
FANCG,1.371212554,4.62459E-08
PRIM1,1.372008648,5.94717E-12
RAD51AP1,1.372628685,1.06317E-05
TRAIP,1.373690734,6.99138E-05
SOGA1,1.378437181,6.91576E-11
NUF2,1.381094534,3.55565E-07
ZNF736,1.38691205,7.40511E-17
NEK6,1.387457299,3.89032E-12
APOBEC3B,1.388318872,2.84365E-05
RFC4,1.389829458,5.38351E-09
CRLF1,1.391778326,0.000491012
GLI3,1.391886634,6.46671E-07
DPYSL5,1.395096676,0.009355168
GINS1,1.406432662,2.09866E-15
IKBKE,1.408610113,0.000541461
KIF24,1.408953448,2.5869E-08
ZNF681,1.410373303,0.000001314
MUC5B,1.414947466,3.81252E-07
CENPE,1.415421528,1.99501E-17
LPAR5,1.421008713,0.008253879
KDELC2,1.42133509,1.73397E-07
LINC00346,1.422282348,0.000201723
TRIP13,1.42295711,2.94056E-08
FAM115C,1.424408562,3.05573E-05
GINS3,1.429511226,2.77909E-08
CHAF1B,1.430609934,2.95083E-07
DEPDC1,1.430795413,6.32618E-14
GAS2L3,1.432232247,1.31327E-16
HIST2H2BE,1.432456778,6.94977E-26
SEPT10,1.432943255,2.22486E-08
FBXO5,1.433284461,1.08889E-13
UBE2E2,1.433398609,3.75237E-07
CREB3L1,1.435463702,0.004673293
CDKN3,1.437377726,1.34326E-09
ZNF543,1.440038765,4.16125E-06
TTK,1.440303378,1.22541E-13
BRIP1,1.44078038,5.29354E-23
MYRIP,1.441604347,0.006422975
TNS4,1.441725156,0.000628039
CBX5,1.442083222,3.6773E-16
H2AFX,1.442259751,1.83868E-26
ANK2,1.447648895,0.006299081
OTOGL,1.449018208,0.000945312
IFI6,1.449400497,2.6239E-06
SEPT5,1.450838175,7.43722E-14
ZNF321P,1.452707534,0.006336441
MX1,1.453094779,0.003766903
KIAA0226L,1.453277386,0.000101407
OXCT1,1.45692071,8.03154E-10
PAQR8,1.457819817,0.00025195
PRKACA,1.458509734,9.34516E-08
BMP6,1.462842567,0.002713616
C1QTNF9B-AS1,1.463972895,0.006163437
HELLS,1.465968444,8.06559E-15
PPP4R4,1.467650257,0.004180341
ZNF93,1.469138717,3.12277E-08
DNMT3B,1.472234573,3.63876E-05
PSMB8,1.473988771,0.004062988
KPNA2,1.476721726,5.20285E-15
GALM,1.477166996,0.001711462
NRM,1.47979211,3.51638E-05
ZNF730,1.48455498,4.14526E-05
POLA2,1.485324974,3.00944E-12
LOC154761,1.487044611,0.000043768
HIST1H4E,1.487573956,6.48404E-21
MTFR2,1.489280275,3.48055E-05
UGDH,1.489969245,4.40683E-30
ZNF829,1.490923781,0.000100269
GPR64,1.491769454,0.002449313
FA2H,1.495413107,1.84217E-05
SORD,1.496589652,2.95981E-14
ZNF850,1.498212057,2.08725E-13
DPYSL2,1.498380982,2.91407E-25
ACOT7,1.498868122,6.68878E-11
NCAPG2,1.500415125,2.05779E-14
FAH,1.501053557,2.74307E-05
ARHGAP11A,1.501300382,1.47595E-25
GNG4,1.503036248,0.004754244
ZDBF2,1.504492481,0.000114651
LGALS1,1.508804708,2.20463E-09
PIF1,1.508868505,0.00027101
TYMS,1.516538542,8.87749E-17
OIP5,1.517812629,1.25599E-05
MST1R,1.519948311,0.000773655
KSR2,1.52217924,7.87507E-07
AURKA,1.522218398,2.31876E-13
PAG1,1.527226057,9.72115E-05
CDCA7,1.52868878,0.00018679
TUBA1C,1.529709856,9.1566E-17
CDCA3,1.530649338,0.000000478
ONECUT1,1.531722665,0.001335995
PCK2,1.543023631,9.89778E-19
BTG3,1.543447416,0.000262163
CNTLN,1.550375291,0.00122098
ANKHD1-EIF4EBP3,1.55518439,3.46891E-10
TP63,1.555764191,7.04838E-05
MYCL,1.557002551,5.09134E-06
HIST1H4K,1.558496226,0.00000001
DDX11-AS1,1.564042505,0.002216402
UBE2L6,1.564485802,2.79176E-05
SYBU,1.567186112,8.35848E-10
BMP7,1.56868381,4.59847E-12
FAM72B,1.572458149,0.000127889
RAB36,1.573183241,0.00125353
GAPDH,1.576196445,1.93408E-21
TROAP,1.577801834,4.91722E-08
ZC3H12C,1.582428616,2.52279E-05
HIST1H4H,1.582646138,9.46646E-35
MAP2K6,1.58626633,0.000965017
HIST2H2AC,1.586920254,6.58251E-22
LOXL1,1.587342898,8.19351E-17
CCNB1,1.587998023,2.67671E-13
EXO1,1.589068451,6.64902E-12
PCDHAC2,1.590426351,1.30545E-07
AGMAT,1.590909416,6.00891E-05
PLP2,1.593276135,7.25766E-16
MN1,1.596137071,0.002119489
RAB3B,1.597214036,0.001414541
ZNF701,1.601109838,6.34373E-13
ACAT2,1.601657227,8.56159E-15
OSGIN1,1.60222536,2.22157E-10
MAP4,1.603050688,6.27166E-14
ASNS,1.605665234,3.92446E-15
CNIH2,1.606531317,0.001321808
NCAPD2,1.611644159,7.92688E-16
FAM72D,1.613966158,2.57793E-08
MAP1B,1.616676726,3.34232E-09
HCN4,1.617975417,0.00187116
FBXO27,1.618620829,1.53875E-06
TGM2,1.621017403,0.001000252
ZNF506,1.627420293,4.69136E-07
SKIDA1,1.628437919,0.000435645
RYR1,1.629282716,0.001477292
INCENP,1.635606554,3.29699E-14
TTLL7,1.637353209,0.001552433
FAM83D,1.639143358,6.75178E-11
SPDEF,1.639812195,1.93013E-38
INHBE,1.641336941,0.001839327
RBMS2,1.642913792,5.53261E-06
OSBPL6,1.648186787,6.99138E-05
RNF157,1.648828671,0.000153769
ZNF563,1.649084661,0.00019349
KIF11,1.650629136,1.04628E-31
ERCC6L,1.652944686,1.71244E-09
CDC6,1.660031156,1.58297E-13
ROBO1,1.661269243,4.68542E-11
ZNF43,1.662563392,1.41554E-10
ZSCAN18,1.662769135,0.000180084
SKA3,1.669546315,1.68815E-12
MCM2,1.670777901,2.104E-17
POC1A,1.672246524,1.80483E-09
TCF19,1.684759201,1.20581E-18
MELK,1.685240879,2.07748E-13
SGK1,1.687326365,1.62967E-16
APBA1,1.696063429,0.000296261
SERPINB5,1.703882301,0.000608229
MT1F,1.704737281,0.000914805
CLSPN,1.708303593,5.83256E-21
GINS4,1.709835795,2.41067E-08
GLRA3,1.710032625,6.50882E-16
SIRPA,1.711741191,0.001090064
PFKFB4,1.714747469,7.18348E-12
GNA14,1.717339591,1.33658E-14
RAD54L,1.722316602,4.34741E-07
KNSTRN,1.726306874,1.58099E-11
TRANK1,1.728927801,2.35165E-20
PTRF,1.729339771,6.34297E-05
TAF15,1.730410281,2.09637E-15
NBL1,1.731069253,1.50749E-09
CENPW,1.734772669,7.43764E-07
CENPN,1.741095759,2.95947E-22
FAM72C,1.744465431,2.90579E-08
CENPM,1.747516961,1.27545E-06
STMN1,1.749906896,4.74217E-51
NCAPG,1.752001315,1.16527E-15
HIST1H1E,1.753477098,6.95428E-30
EGR3,1.754663205,5.67887E-15
NREP,1.767076433,7.36365E-05
HIST1H3E,1.772170911,6.42989E-29
MND1,1.772545388,3.29772E-05
DEPDC1B,1.773047438,8.18322E-11
HIST1H4C,1.773823467,3.69181E-41
SOX2,1.77683379,4.79871E-18
NEIL3,1.780807342,1.32237E-07
HIST1H2BC,1.781020595,7.0225E-28
OAS2,1.783175975,6.43663E-05
HMGB2,1.787776783,1.0667E-46
RACGAP1,1.788942033,2.09082E-19
CENPA,1.791465188,9.79281E-12
OAS3,1.794661332,3.90462E-10
CNTNAP2,1.795159727,0.000500536
TACC3,1.796270714,4.14298E-13
C17orf53,1.800971436,9.02028E-08
CASC5,1.801173618,5.15515E-22
BUB1B,1.8050356,6.05723E-15
SLC16A6,1.805540006,1.3681E-28
FGFR4,1.808891137,3.31306E-12
NUSAP1,1.809151096,9.0929E-28
HIST1H4F,1.812475435,3.7375E-23
C3orf70,1.813761335,7.62299E-07
FIGN,1.81665377,3.88745E-07
OLFML2A,1.821255359,9.41091E-06
CDCA2,1.831447155,1.32173E-13
RIMS2,1.831727292,1.11654E-05
HIST2H2AA4,1.833951497,1.83237E-38
SLFN5,1.835938856,1.31517E-21
CDC25A,1.83627899,1.33989E-14
TMPO-AS1,1.838135196,0.000000318
HIST3H2BB,1.844546195,8.07695E-10
CENPU,1.844851805,1.86817E-24
HIST1H2AD,1.845452416,4.10702E-12
SPAG5,1.848818573,3.92446E-15
GRIK2,1.849841471,0.000119115
KIFC1,1.852013644,1.99501E-17
FANCI,1.854671944,9.14268E-37
PDK1,1.855388588,3.08192E-10
NES,1.856881132,4.29715E-06
TMEM26,1.857552175,7.79143E-07
SGOL1,1.86510894,7.04872E-16
CDCA5,1.865983512,6.80314E-16
ASF1B,1.866620251,1.05118E-20
ASPM,1.867296285,2.38115E-46
DTL,1.885339263,1.45836E-16
KIF18B,1.891533144,0.000000001
SERPINA1,1.894373798,1.07727E-12
HIST1H2BG,1.896704898,5.58701E-24
TNFAIP8L1,1.89972804,2.61156E-06
CENPH,1.9074459,1.30018E-12
ZNF732,1.914549034,2.06362E-05
HIST1H1C,1.91788867,1.38143E-29
ETV5,1.923719418,5.77147E-05
GLA,1.934510029,2.91462E-60
FAM115D,1.937374471,0.000182374
HIST1H4D,1.940476392,1.2297E-36
PRC1,1.941487417,9.57164E-31
PHF19,1.945835679,3.20742E-16
HIST1H4B,1.947117275,3.58421E-21
ZNF367,1.949272094,2.01358E-23
FAM225B,1.950955471,0.000165986
FOXM1,1.957113374,1.00984E-15
ADM2,1.958112564,5.13824E-05
RASGEF1B,1.960507759,1.87944E-06
MYCN,1.96167554,9.26543E-05
NR5A2,1.961757702,2.43035E-05
ZNF256,1.968686388,7.70428E-07
BUB1,1.969832949,1.26945E-17
TOP2A,1.972176412,2.37022E-36
TUBA1B,1.975166926,9.12861E-30
KIF23,1.9868317,1.37131E-26
FAM129A,1.992307209,1.97478E-06
FANCD2,1.992777204,9.52737E-15
TPX2,2.002352118,3.4261E-18
PBK,2.003054342,6.78667E-14
VCAN,2.010162552,0.000001561
LMNB1,2.01156519,2.91235E-27
CDT1,2.012072823,7.55101E-24
IMPDH2,2.018715415,3.70365E-23
CDC45,2.019614944,2.12752E-17
HIST1H3A,2.021781452,8.61731E-18
CEP55,2.024293156,2.63329E-20
CKAP2L,2.030343889,3.48487E-13
GTSE1,2.046152277,4.31198E-09
TUBB,2.058996251,9.66774E-23
CBR3,2.060338167,5.37991E-08
PKMYT1,2.085790044,5.5609E-21
CRYBG3,2.086188535,1.0553E-23
HIST1H3D,2.096764929,1.3846E-56
FBLN1,2.105824772,4.35337E-05
CIT,2.107064549,1.46782E-20
CDCA8,2.12183518,4.0381E-20
HIST1H2AE,2.122052126,1.64088E-44
CENPI,2.135516614,2.95981E-14
MCM10,2.142485045,1.33842E-18
HMMR,2.147228424,5.46888E-26
SKA1,2.154579856,4.61032E-10
ZNF442,2.165736409,0.000000056
ESPL1,2.167750211,1.5986E-14
FAM111B,2.170333909,1.96782E-19
E2F2,2.172520683,1.85244E-23
KIF15,2.179984289,8.3108E-26
AURKB,2.181871204,7.18834E-20
DLGAP5,2.18374904,5.07548E-20
NDC80,2.185176586,1.42264E-20
SFXN2,2.191832073,2.62008E-51
HIST2H2AB,2.195990173,2.78996E-46
HIST2H4B,2.198704263,7.14211E-37
KIAA0101,2.200895945,6.13559E-23
HIST2H2BF,2.201058929,2.29638E-30
UHRF1,2.202094693,5.40705E-20
SHH,2.217025973,1.26392E-07
TLE4,2.227463763,1.77281E-09
BIRC5,2.246408064,8.93033E-28
NAV2,2.251025005,7.89027E-28
PGM1,2.255874252,3.26641E-11
CDKN2C,2.259200693,1.03281E-15
HIST1H1D,2.260716712,1.47972E-43
NCAPH,2.270410159,1.57694E-15
HIST1H2BE,2.273235317,1.56607E-24
HIST1H2AM,2.275028908,5.50245E-42
ORC1,2.279570291,1.10185E-13
PTTG1,2.28099779,2.23324E-17
CDCA7L,2.282951583,2.59378E-24
CDC20,2.288125185,2.08303E-14
HIST1H3I,2.306128851,1.15969E-20
KIF2C,2.310110651,2.25451E-16
KIF4A,2.318587401,6.95934E-20
RAD51,2.32498732,2.66395E-13
HIST1H2AK,2.335444835,8.13199E-18
CCNB2,2.335567474,2.11851E-21
SHCBP1,2.339594612,1.89491E-16
UBE2C,2.343589053,2.07645E-24
TICRR,2.344728005,1.24622E-15
E2F8,2.348978414,2.7147E-17
HIST1H3H,2.353056464,1.82338E-59
HIST1H2AI,2.411604973,1.51498E-46
HIST1H2AG,2.419471883,1.83816E-48
FAM64A,2.433823333,4.19745E-16
HIST1H2BH,2.449255364,3.94527E-50
HJURP,2.454909465,6.14634E-24
HIST2H3D,2.460617097,2.46855E-39
MUC1,2.488131208,1.81113E-25
TK1,2.510162277,1.2088E-30
HIST1H2AB,2.514610041,2.21102E-24
ANLN,2.544485122,3.5253E-62
HIST1H2BI,2.554256669,7.4623E-38
PRUNE2,2.554930969,4.95282E-08
PLK1,2.559994827,3.70766E-19
MKI67,2.565960388,6.22723E-32
PHGDH,2.595430052,2.98214E-30
HIST1H4A,2.598618995,1.38298E-42
HIST1H2BN,2.632056415,7.77508E-43
HIST1H2BO,2.649878044,4.32129E-44
HIST1H2BF,2.653430607,6.28873E-31
SPC24,2.663161638,1.46951E-14
KIF20A,2.664219619,3.13032E-25
IQGAP3,2.684299794,3.00824E-29
HIST1H2AH,2.697511647,3.22305E-40
CCNA2,2.702355778,7.97259E-27
CDC25C,2.721396732,1.72541E-17
MT2A,2.741818795,2.01634E-29
HIST1H3F,2.753375384,1.54533E-81
HIST1H2BJ,2.782268289,2.90719E-49
ZNF486,2.806916761,2.14055E-09
HIST1H3C,2.822817027,3.00091E-40
HIST1H2BL,2.834445606,9.72892E-44
NYNRIN,2.852015964,3.20604E-26
HIST2H3A,2.853339302,4.56679E-97
IL20RA,2.853968744,3.24222E-09
HIST1H2AL,2.863243867,1.45852E-37
HIST1H3G,2.879038612,8.55568E-70
ZNF257,2.90524632,6.16844E-10
HIST1H2AJ,2.91215618,1.1354E-58
PRR11,2.913263423,1.83147E-38
HIST1H1B,2.989348353,7.9821E-70
HIST1H3J,3.003084902,4.34688E-57
HIST1H3B,3.006552731,7.09564E-94
HIST1H2BM,3.039300295,2.89959E-31
IFI27,3.134129675,4.2801E-14
MYBL2,3.15399881,2.25286E-37
ZNF625,3.290185464,1.46238E-14
RRM2,3.317066963,8.4254E-122
GALNT5,3.836863297,6.35188E-25
HIST1H2BB,4.144574186,7.32243E-27
XIST,4.468678192,3.12544E-53
