genename,log2FoldChange,adjusted_pvalue
AKR1C1,-1.515094427,0.001281636
GPR68,-1.514415231,2.44116E-15
APOE,-1.503592341,0.000156123
SNORA37,-1.503297479,0.000102676
OXTR,-1.503000331,6.14539E-09
KCNJ8,-1.502626542,3.82826E-08
EDA2R,-1.502059316,1.6701E-13
CALB2,-1.497588502,0.000126525
LY6G5B,-1.495835058,0.002712759
SGK494,-1.494780466,2.08559E-05
GPR158,-1.492827021,1.27545E-06
CCDC144CP,-1.486106462,0.001375544
ACOXL,-1.480623743,0.001835775
SEMA4C,-1.480403066,4.36962E-13
COL24A1,-1.477477101,0.004561645
PI4KAP1,-1.476950552,1.42033E-05
CTNNA3,-1.461566034,0.00021844
CFAP44,-1.458307624,6.66576E-09
LY6D,-1.45781825,3.47107E-05
ACKR3,-1.456117828,0.000432135
EFEMP2,-1.45095829,0.005812754
EMP1,-1.44805366,0.002614425
SLC14A1,-1.444697676,0.001205487
NPIPA1,-1.441380772,3.90735E-12
NYAP2,-1.432948915,0.004774104
RDH16,-1.431725112,7.67499E-05
SNORA14B,-1.431253149,0.006033115
INPP5D,-1.418560876,0.004909365
COLQ,-1.415578986,0.003560826
LOC100270804,-1.414573087,0.000222672
LOC155060,-1.413648541,0.000333904
TACC1,-1.409881974,1.63199E-28
NOTCH1,-1.407350126,1.64275E-20
MALRD1,-1.403616856,6.54972E-14
CCDC89,-1.402212156,9.12943E-05
TGFB2,-1.40144385,1.14075E-18
ZG16,-1.399797527,0.004184736
TMEM198,-1.399736636,0.000151917
STX16-NPEPL1,-1.399179231,2.41147E-07
RSRP1,-1.398013998,2.86862E-14
BMPER,-1.396007102,0.009464866
RAD52,-1.39586074,0.000000001
MST1,-1.395601481,0.000666149
WISP2,-1.395594342,5.8617E-08
PAN2,-1.394833098,1.3681E-28
TRIB2,-1.393834944,1.54175E-08
HSPA6,-1.393546545,0.00234298
LINC01341,-1.390745957,0.009839654
CT83,-1.387615912,0.000108427
LOXL4,-1.385684521,1.47767E-05
DENND4B,-1.383968849,4.6259E-17
PLK2,-1.380454897,8.96314E-49
FAM171B,-1.379262555,2.12865E-13
CROT,-1.378155888,2.24585E-12
INHBB,-1.377237428,4.48088E-13
TGFBR3,-1.376547711,1.80488E-05
CPM,-1.375768823,0.001732193
CAPN8,-1.372201191,4.03464E-05
LIN7A,-1.363917166,3.50852E-05
RBM39,-1.35903262,3.24483E-31
PLEKHG5,-1.356988794,4.25039E-10
WIPF1,-1.35693358,1.02533E-12
LINC00176,-1.35687439,5.16571E-05
FAS,-1.354651425,6.07101E-07
COL11A2,-1.354347875,0.005680452
ULK3,-1.353589465,6.04793E-26
FAM107B,-1.348641932,2.17854E-06
FAM151B,-1.348622028,0.000465231
CLIP3,-1.348175933,0.009548505
CHKB,-1.3422668,2.07546E-09
S1PR3,-1.340963811,4.60675E-06
COL5A1,-1.339846576,1.74406E-26
ZNF202,-1.334903465,3.41914E-09
GADD45G,-1.334858596,6.64941E-05
FAM218A,-1.333439068,0.003553565
CSTA,-1.33126664,0.006078022
SYNGAP1,-1.330297085,0.000005882
CEP290,-1.329640407,2.51746E-10
PLK3,-1.320303184,8.48357E-05
GOLGA2P5,-1.319746337,6.39965E-06
KIAA0195,-1.319649102,2.04682E-19
TNFRSF10C,-1.319438175,3.316E-07
PRRT2,-1.318696995,0.00087004
PAX6,-1.318289216,0.007142129
POFUT2,-1.315954003,1.79416E-15
APBB3,-1.314822508,5.58677E-06
ADRA2C,-1.312588321,5.84727E-13
HTR7P1,-1.310546232,2.95222E-08
LOC646471,-1.308361158,0.000813022
IKBIP,-1.307646266,1.47654E-10
TUBGCP6,-1.306215094,2.34282E-13
PKD1P6,-1.305874753,8.21312E-06
BMP1,-1.305092771,1.1907E-09
GIGYF1,-1.301292368,7.441E-29
DSC2,-1.298379172,2.61032E-08
DNAH7,-1.297398566,0.000580672
LOC101927391,-1.293151617,0.002823813
ZGLP1,-1.289650475,0.009061015
ZNF767P,-1.287171603,4.78735E-07
DSEL,-1.285584576,0.002578741
LOC100128770,-1.285476299,0.006453655
HSD17B7P2,-1.283787376,0.000520134
CCDC84,-1.283349534,2.41906E-06
DDX11L2,-1.282775479,0.006829921
NXPE3,-1.28275117,1.5115E-09
RELB,-1.281997593,0.001647332
STK11IP,-1.277993086,2.08303E-14
LOC727751,-1.277951935,0.000101706
KRBA1,-1.276293611,0.003600603
FAM110A,-1.274972811,2.13217E-10
KIAA1407,-1.27461544,5.51733E-05
COL4A5,-1.272930891,2.45414E-11
NPY5R,-1.271977465,0.003527784
MAT2A,-1.270733297,1.14822E-30
LOC100130987,-1.2682868,0.001675363
RPS27L,-1.266082212,4.61518E-15
LOC148696,-1.266037674,0.002295055
LOC100506123,-1.264922969,0.000312409
MYT1,-1.264256992,0.005658637
TRIM13,-1.262935702,7.2076E-15
NHS,-1.261158408,1.87515E-12
ERO1LB,-1.25696379,0.000303403
GGT7,-1.255744301,1.63082E-05
LOC100630923,-1.255625201,0.000107205
PRKXP1,-1.253418768,0.003045623
EDN1,-1.246784456,2.3623E-10
LOC100294362,-1.246697682,0.007638468
PGM5,-1.244680144,0.000033965
BRICD5,-1.243841265,0.001746975
CACNA1D,-1.239109122,7.41706E-05
FCHSD1,-1.238999072,2.8394E-12
MINPP1,-1.237339927,1.16191E-10
C1QTNF3,-1.235606432,0.009996917
CYP4F22,-1.235200897,0.009419364
ABCG2,-1.234922622,1.71724E-06
LOC100128494,-1.233645263,0.000635157
AQP3,-1.233458279,9.65302E-08
KTN1,-1.231365603,0.000000008
IGFBP3,-1.23053535,0.000642513
PRPF3,-1.230303974,2.02855E-11
LOC284454,-1.230271025,1.80102E-05
KITLG,-1.227889372,2.23461E-13
MAP9,-1.227848419,1.01374E-08
LOC100288778,-1.226231146,1.79169E-10
EPS8L2,-1.224700632,2.04729E-28
UCKL1-AS1,-1.222778869,0.000241549
ADAM8,-1.2225687,0.003100309
PSCA,-1.219063828,0.000505445
MTCL1,-1.216995259,1.4379E-07
SCARNA9,-1.215596392,9.06272E-05
COA6,-1.215228954,5.32798E-10
TCF24,-1.214051216,0.003071665
CEP95,-1.209620924,1.21113E-12
LUC7L3,-1.209323834,9.27171E-14
IL1R1,-1.206361334,1.11264E-05
PKD1P1,-1.206241665,3.30013E-11
GRB7,-1.205177209,0.000003926
ABCC8,-1.204544303,0.003600715
HERC2P9,-1.203159311,0.000002241
CNST,-1.201572918,7.69093E-14
TRPV1,-1.199046361,0.000288985
PCBP1-AS1,-1.19895804,0.002675476
ZNF37A,-1.195548462,7.21952E-17
ZGPAT,-1.195459736,3.78734E-16
PNISR,-1.19534446,7.46671E-14
SCD5,-1.193755153,8.42794E-13
CMAHP,-1.187782103,0.00015721
FAM20A,-1.186785235,0.000168063
PLXNB3,-1.184639275,0.000102752
FLVCR1,-1.183606224,1.48706E-07
NT5E,-1.182168917,1.53128E-11
AGAP9,-1.179855729,0.000262271
CYSRT1,-1.179226954,0.000691087
PLGLB2,-1.177923502,0.000323978
ENTPD8,-1.17791916,0.000272529
PPT2,-1.17789778,6.66889E-09
GPRASP2,-1.17328048,0.007952709
NBPF12,-1.173018548,1.03266E-10
NSUN5P2,-1.171394036,0.001189112
LIG4,-1.170118147,2.87237E-07
IL18BP,-1.166240027,0.002384106
CLASRP,-1.159792353,2.08528E-13
UTP23,-1.158685002,1.09262E-18
WASH3P,-1.156892094,1.63037E-08
TMEM259,-1.15446801,1.9068E-14
HSPB8,-1.153999579,1.19494E-05
IFNGR1,-1.149090099,3.56963E-09
MMP19,-1.148880271,0.008840141
ANKZF1,-1.146363823,2.04455E-15
ST3GAL1,-1.145385593,3.92904E-13
NFE2L3,-1.145114887,5.47423E-10
CD47,-1.142500035,1.31538E-09
PTCHD4,-1.140361543,0.008456004
ITGAV,-1.13871901,2.54125E-16
KIAA0895L,-1.137770926,8.77825E-06
ANKRD34B,-1.135744564,0.000308183
PABPC1L,-1.134807752,0.000135837
SNORA18,-1.132326994,0.007388046
LOC100272217,-1.131865998,0.002366992
SNHG3,-1.131750256,6.76616E-10
TMPRSS2,-1.131573307,3.16123E-05
CA12,-1.130733919,1.11947E-21
SRGAP3,-1.127403887,2.88417E-05
ZNF37BP,-1.123172382,2.93404E-08
MAN2A2,-1.121464466,4.79871E-18
VWA2,-1.120757755,0.007658022
TM2D1,-1.120710403,2.41505E-07
SLC2A14,-1.118835397,0.005857533
SLC4A3,-1.116084718,0.002017181
PLA2G6,-1.116071419,0.001050276
SLC30A1,-1.115606729,6.70417E-10
ANKS3,-1.115193126,9.36154E-06
MROH6,-1.11368776,0.00150593
KYNU,-1.11157543,5.44963E-14
LMCD1,-1.109626344,0.000000045
ZBED6CL,-1.109409265,3.98173E-06
LPIN3,-1.10904152,2.08725E-13
GOLM1,-1.108069007,3.75237E-07
ZNF224,-1.107102505,6.17894E-09
ANGEL2,-1.103705634,5.55608E-10
AUH,-1.103498989,0.000113824
LOC100131564,-1.101962303,0.00399119
MIR22HG,-1.101670896,0.002506082
ILF3-AS1,-1.100956496,2.67745E-11
SERPINF1,-1.09988707,0.000633222
DRAM1,-1.099782317,6.90733E-12
TMEM81,-1.099324826,0.00167313
MCOLN2,-1.096897534,0.001927639
LOC399491,-1.096706553,1.96185E-07
COMMD2,-1.094614763,9.84813E-09
RDH14,-1.091193217,1.04535E-08
LOC100130093,-1.088468448,0.00159581
GUCY1B2,-1.088065143,0.00057815
ABCG1,-1.086275884,8.5152E-12
BTG2,-1.085618705,3.12398E-16
SLCO4A1,-1.08474208,2.65341E-10
SZT2,-1.084348789,4.60234E-12
KLHL5,-1.08226482,1.7118E-12
THEM4,-1.08181374,1.79326E-05
NBPF11,-1.080744462,2.22613E-15
CCDC78,-1.080448572,0.001883375
CLDN1,-1.080447645,0.000800479
PLAU,-1.079203881,0.002828839
SNORA22,-1.075429356,0.001607295
MAP3K14,-1.073570065,2.08559E-05
C6orf141,-1.073022419,0.000000074
KRT7,-1.072649008,0.000194864
TUBG2,-1.067222792,0.005427958
CYB5D1,-1.065660778,2.69063E-13
ZMYM5,-1.064053173,4.56071E-08
NTN4,-1.062906247,0.000182898
TMEM9B,-1.062804223,4.21751E-13
CROCCP2,-1.062083403,0.000116516
C11orf71,-1.061238767,0.000012505
IL6ST,-1.061220105,1.23534E-11
FAM47E-STBD1,-1.060737776,0.003395647
VASN,-1.060632563,2.20934E-07
LUC7L,-1.058852568,9.29256E-13
DZIP3,-1.056497378,1.80276E-09
AGAP5,-1.053751722,0.00367017
PRPF38B,-1.052258131,1.56833E-09
FAM193B,-1.051212543,1.46203E-10
AKR1C3,-1.050512965,0.000824751
CREBRF,-1.050177052,0.000884669
DKFZP434I0714,-1.049448785,0.000574725
POLI,-1.048168876,0.000105742
SNORD94,-1.047574884,0.000118927
HDAC10,-1.047501146,0.00024604
USPL1,-1.042873472,6.78665E-10
PPP2R5B,-1.039273893,0.000326788
LOC100499484-C9ORF174,-1.038278982,0.004754244
RELL1,-1.037937005,1.11412E-07
FAM84A,-1.037852245,0.000031895
CCT6P3,-1.037073858,0.00020557
C9orf3,-1.036917113,3.65749E-07
NSUN5P1,-1.036704349,7.79092E-05
C12orf5,-1.034730411,2.66782E-12
ZNF75D,-1.034468594,2.00137E-14
SCCPDH,-1.03425907,9.3374E-14
FRA10AC1,-1.03409417,0.00020322
CGRRF1,-1.033216912,4.7291E-06
GOLGA6L9,-1.032334533,2.75542E-05
HEMK1,-1.029895628,0.000115494
NINJ1,-1.02929444,3.33239E-16
METTL7A,-1.028308206,0.000177184
METTL16,-1.024684798,8.19351E-17
FBXO44,-1.024518506,1.33194E-05
ATP7A,-1.024147009,3.41806E-06
SNORA54,-1.023500112,0.004705443
EPOR,-1.02185218,0.000668238
C1GALT1C1,-1.021583807,4.69902E-07
ZNF354A,-1.021132767,8.88759E-08
AGPAT9,-1.020001712,5.52536E-05
STAG3L4,-1.018740133,1.40134E-07
SLC2A6,-1.017974522,0.001768476
AGAP4,-1.017355475,0.001990444
SLC39A10,-1.017073817,9.48013E-10
ENC1,-1.016982784,9.96378E-14
MYSM1,-1.016775901,6.62809E-10
IFFO2,-1.016600809,7.69082E-06
ARL16,-1.014814207,1.00424E-05
TVP23B,-1.01472476,3.66435E-08
ARHGAP26,-1.014564048,2.53648E-07
SCARNA12,-1.013360198,2.22565E-08
ZNF449,-1.011843801,3.07132E-05
IFIT2,-1.009875907,0.000983822
CREBZF,-1.007146074,2.05946E-23
CTC1,-1.006473155,6.72774E-11
TAF1C,-1.006305784,1.27892E-09
CAB39L,-1.004553127,0.000238906
TATDN1,-1.004271666,8.00817E-07
TXNIP,-1.003955848,2.30714E-08
PNN,-1.002708403,5.10027E-13
GADD45A,-1.001270227,8.85164E-05
DISP1,-1.001212845,0.000682673
SOWAHC,1.00067224,4.78567E-05
RHOA,1.002221247,2.63935E-13
IFI35,1.00288024,0.002883677
RFC3,1.003063318,6.14872E-07
SULF1,1.003416043,4.10485E-07
RNPEP,1.004048973,2.75389E-05
HNRNPUL2-BSCL2,1.004202371,4.44576E-13
BCOR,1.004305048,8.40793E-11
ATXN2L,1.004441473,5.75615E-05
PCDHGC3,1.005284791,4.24606E-06
SMARCC1,1.006372969,3.40293E-15
TUBB2A,1.006500237,0.004781344
ZNF738,1.009056329,0.00240551
ST8SIA6,1.009554749,0.00119566
GPSM2,1.009945827,3.94304E-10
PDLIM1,1.010272405,2.59475E-08
ETFB,1.011736706,3.65749E-07
SLC4A10,1.011873934,0.000015584
ANP32E,1.012642244,9.73623E-11
C1orf226,1.014075211,1.37034E-11
DIAPH3,1.014350764,1.05848E-06
DARS2,1.014532269,4.77762E-06
DENND2C,1.014921879,8.85164E-05
IDH2,1.017979262,4.09729E-14
FMN1,1.018409328,2.17165E-13
UBA1,1.021416004,6.66576E-09
QARS,1.023093327,1.49873E-17
LINC00263,1.025825286,0.008315087
SAMHD1,1.026300244,0.000694051
CCDC74A,1.027518426,0.000301053
PGD,1.029380579,1.81813E-13
AP1B1,1.031890075,1.83679E-08
PRKAR2A,1.032941825,7.87147E-08
FASN,1.033968033,1.27864E-06
LIMD1,1.034660061,1.27892E-09
GPX8,1.035360219,4.61502E-05
DCAF7,1.035642301,3.62732E-09
TMPO,1.035704235,2.37544E-19
HIF1A,1.036234611,3.69852E-17
PXN,1.036754648,1.00216E-06
H2AFZ,1.03719823,7.34779E-12
CENPL,1.037396032,1.45223E-06
SMAP2,1.037437388,3.34188E-05
ALDOA,1.042125247,7.07157E-26
WHSC1,1.043433621,4.11834E-15
SHMT1,1.043472154,1.58052E-12
UQCRC1,1.044362097,6.8138E-09
UNG,1.044590442,2.40361E-14
RASA3,1.045925388,1.20766E-05
KHSRP,1.049333517,0.000000624
ZNF530,1.050593458,0.007882121
EME1,1.052367281,0.000441368
TPI1,1.052947879,9.79951E-11
GPI,1.054825723,4.77735E-09
BARD1,1.057313038,7.90247E-12
PIP5K1B,1.057865609,0.004180341
FAM189B,1.058430812,0.007147956
STIL,1.059335924,1.4976E-06
CYP26B1,1.059881507,5.29786E-05
PIR,1.061295005,0.000333278
UBL7-AS1,1.061311288,0.00042974
DCLK1,1.064007916,1.65167E-08
PABPC1,1.06591337,2.75129E-13
CRACR2A,1.066271862,0.000254201
MPND,1.066533496,1.44449E-07
ISOC1,1.066607294,2.16564E-06
CMC4,1.067042662,0.000125503
RFC5,1.067295659,2.484E-11
ASS1,1.067318357,7.34928E-14
UCP2,1.069620787,7.73996E-08
LETMD1,1.070150494,4.49918E-09
FABP5,1.070189665,0.004571477
CS,1.070366655,3.59658E-06
ODC1,1.073466799,2.23125E-10
COL1A1,1.073611552,0.007829408
ZNF816,1.075925385,5.11599E-05
FLOT2,1.076262384,0.000000008
RPSAP58,1.077053503,2.80715E-10
DUT,1.07791101,7.78575E-09
RNF26,1.078806107,1.08156E-06
ZNF275,1.080236492,0.000032075
MARCKS,1.080351307,1.04001E-14
MAD2L2,1.082473349,6.24633E-07
CCNK,1.084009043,0.000149101
CHAMP1,1.084594799,0.000869365
LOC100288637,1.084613779,0.002674521
HLA-DRB1,1.085996076,0.00124885
NDE1,1.086129201,5.19694E-06
MOCOS,1.086402541,1.69552E-05
PPP2R2A,1.086427048,8.38208E-12
H2AFJ,1.088489604,5.10158E-11
MXD3,1.089289438,0.000011145
SUSD2,1.091042326,0.000606383
PTPLA,1.09204012,0.00249739
PARP10,1.092130005,8.28943E-05
LASP1,1.092682674,0.000000034
RPS2,1.093098084,9.26147E-09
TAGLN2,1.093140232,3.69764E-15
SUFU,1.093739058,0.000132412
PCDHGB1,1.093826385,0.000150662
MMAB,1.094671296,6.70417E-10
TFRC,1.09529565,4.23618E-33
NFIX,1.095681436,0.003674594
LYN,1.09592856,0.00027312
BLVRB,1.097139733,4.72265E-20
SSH2,1.098895644,2.28867E-05
C1orf106,1.099789056,2.40543E-08
KIAA1524,1.102471396,7.08899E-08
ADCY1,1.102642043,0.000000001
ADM,1.103001539,0.001091876
PRKACB,1.103620195,1.53196E-05
PCDHGA2,1.106886109,0.001375544
KIF1A,1.107034507,1.06317E-05
RDX,1.107657156,1.29448E-16
CSNK2A2,1.108843931,0.000000034
SLC16A9,1.108920578,0.001694657
AK4,1.109827795,1.41321E-11
HSPB1,1.110254748,3.75036E-21
CTSV,1.112678393,0.000627002
ZNF100,1.114783637,5.44676E-07
SYNM,1.116811666,0.000168116
RPSA,1.119529053,1.42609E-09
NUDT1,1.120565897,8.94046E-05
RRAS,1.122287156,0.001821701
GOT1,1.123455638,4.65397E-10
WDHD1,1.124445083,6.60489E-13
PAICS,1.124762326,1.30754E-09
FTH1,1.125802586,3.59217E-22
LOC100129034,1.125851233,9.33342E-08
COBL,1.128654291,2.0711E-09
CRABP1,1.128776388,3.51294E-05
PTPN23,1.128995142,0.000219162
ZNF229,1.129864678,0.000132013
CENPO,1.130015878,1.78589E-07
EMC9,1.130294282,7.82299E-07
TCTEX1D2,1.131338721,1.84345E-05
PPIA,1.131545473,1.03266E-10
MEIS1,1.136181543,0.00001681
ESCO2,1.136287999,1.35759E-05
TYRP1,1.136534143,0.0019532
UBE2S,1.137162286,1.71072E-14
SCD,1.137668374,3.40073E-15
FKBP5,1.139600277,8.10988E-11
MZT2A,1.143367039,3.56104E-11
CCDC167,1.144668991,0.00367017
BTC,1.145648249,0.008989547
USP18,1.14577966,0.000113007
ATAD2,1.146556633,4.14211E-27
C5orf34,1.146691665,0.001148976
SLC1A4,1.147610748,3.51474E-09
NTAN1,1.147720268,1.51348E-07
PSMC3IP,1.148437549,0.00896828
TFF1,1.149579595,5.4094E-15
ANKRD52,1.15060126,0.006049448
IQSEC1,1.151651718,1.15826E-09
KRT80,1.152036516,1.45086E-07
LMNB2,1.154191139,7.6253E-08
CPNE2,1.15458882,0.000689436
UBE2T,1.154646738,1.24817E-11
ABHD17C,1.154942698,2.91507E-11
HOXA10,1.157568017,0.002379885
DAB2,1.15814303,0.005647158
ATXN7L1,1.158533212,2.20288E-05
SHMT2,1.158996743,2.26727E-09
EHD2,1.159747403,0.002797433
ARSJ,1.162103201,0.002230901
PKM,1.162760227,1.94011E-19
R3HDM1,1.163925606,6.06902E-05
SLC1A1,1.166741092,0.007612985
PCBP2,1.167377297,6.17573E-07
ANP32B,1.168631886,1.6201E-13
MCM3,1.170150436,3.40073E-15
XRCC2,1.170446815,3.84359E-07
LRP4,1.170897762,0.001633404
